FRAME 0
0.000000	7      4.235827
0.000000	53      4.380061
0.000000	99      4.179491
0.000000	145      4.260890
0.000000	191      4.448509
0.000000	237      4.273221
0.000000	283      4.298465
0.000000	329      4.147157
0.000000	375      4.355225
0.000000	421      4.249564
0.000000	467      4.367633
0.000000	513      4.288457
0.000000	559      4.159483
0.000000	605      4.256125
0.000000	651      4.356091
0.000000	697      4.250082
0.000000	743      4.022272
0.000000	789      4.081363
0.000000	835      4.323012
0.000000	881      4.236310
0.000000	927      4.236451
0.000000	973      4.239016
0.000000	1019      4.233790
0.000000	1065      4.182499
0.000000	1111      4.216969
0.000000	1157      4.210178
0.000000	1203      4.246258
0.000000	1249      4.231196
0.000000	1295      4.237048
0.000000	1341      4.307512
0.000000	1387      4.195486
0.000000	1433      4.265551
0.000000	1479      4.101823
0.000000	1525      4.228017
0.000000	1571      4.466230
0.000000	1617      4.363510
0.000000	1663      4.156399
0.000000	1709      4.014309
0.000000	1755      4.258408
0.000000	1801      4.036470
0.000000	1847      4.263267
0.000000	1893      4.316990
0.000000	1939      4.338017
0.000000	1985      4.052213
0.000000	2031      4.204640
0.000000	2077      4.295819
0.000000	2123      4.234931
0.000000	2169      4.174880
0.000000	2215      4.205500
0.000000	2261      4.331216
0.000000	2307      4.210725
0.000000	2353      4.410015
0.000000	2399      4.087966
0.000000	2445      4.192527
0.000000	2491      4.396086
0.000000	2537      3.993970
0.000000	2583      4.285825
0.000000	2629      4.398481
0.000000	2675      4.407071
0.000000	2721      4.071754
0.000000	2767      4.074475
0.000000	2813      4.304518
0.000000	2859      4.325373
0.000000	2905      4.287359
0.000000	2951      4.184101
0.000000	2997      4.190590
0.000000	3043      4.119255
0.000000	3089      4.314408
0.000000	3135      4.285681
0.000000	3181      4.260617
0.000000	3227      4.289084
0.000000	3273      4.197227
0.000000	3319      4.292993
0.000000	3365      4.230924
0.000000	3411      4.155167
0.000000	3457      4.160669
0.000000	3503      4.227549
0.000000	3549      4.304861
0.000000	3595      4.355625
0.000000	3641      4.249395
0.000000	3687      4.058811
0.000000	3733      4.298971
0.000000	3779      4.228802
0.000000	3825      4.348464
0.000000	3871      4.156342
0.000000	3917      4.307539
0.000000	3963      4.261891
0.000000	4009      4.161502
0.000000	4055      4.021132
0.000000	4101      4.217763
0.000000	4147      4.255381
0.000000	4193      4.234069
0.000000	4239      4.317837
0.000000	4285      4.239319
0.000000	4331      4.260654
0.000000	4377      4.498422
0.000000	4423      4.231447
0.000000	4469      4.186402
0.000000	4515      4.187096
0.000000	4561      4.250906
0.000000	4605      4.305815
0.000000	4634      4.258642
0.000000	4663      4.162056
0.000000	4692      4.185301
0.000000	4721      4.042084
0.000000	4750      4.172065
0.000000	4779      4.295003
0.000000	4808      4.319450
0.000000	4837      3.981925
0.000000	4866      4.138916
0.000000	4895      4.393469
0.000000	4924      4.090086
0.000000	4953      4.228534
0.000000	4982      4.284263
0.000000	5011      4.138445
0.000000	5040      4.097757
0.000000	5069      4.105193
0.000000	5098      4.179998
0.000000	5127      4.248522
0.000000	5156      4.185613
0.000000	5185      4.273953
0.000000	5214      4.211147
0.000000	5243      4.453833
0.000000	5272      4.066168
0.000000	MEAN	4.232411
FRAME 1
1000.000061	7      3.987530
1000.000061	53      4.206102
1000.000061	99      4.228364
1000.000061	145      4.006302
1000.000061	191      3.487910
1000.000061	237      3.997858
1000.000061	283      3.955774
1000.000061	329      4.314950
1000.000061	375      4.526659
1000.000061	421      4.272736
1000.000061	467      3.604140
1000.000061	513      3.906005
1000.000061	559      4.171158
1000.000061	605      4.386609
1000.000061	651      4.298211
1000.000061	697      4.101728
1000.000061	743      3.528030
1000.000061	789      3.822429
1000.000061	835      4.013153
1000.000061	881      4.086225
1000.000061	927      4.421863
1000.000061	973      4.064017
1000.000061	1019      3.786073
1000.000061	1065      3.538363
1000.000061	1111      3.859961
1000.000061	1157      3.727226
1000.000061	1203      4.432595
1000.000061	1249      4.191894
1000.000061	1295      3.865910
1000.000061	1341      3.725576
1000.000061	1387      3.620173
1000.000061	1433      3.713247
1000.000061	1479      3.611151
1000.000061	1525      3.920940
1000.000061	1571      3.910947
1000.000061	1617      4.154580
1000.000061	1663      3.778195
1000.000061	1709      3.629798
1000.000061	1755      3.447344
1000.000061	1801      3.300729
1000.000061	1847      3.752726
1000.000061	1893      3.836031
1000.000061	1939      3.841075
1000.000061	1985      3.695294
1000.000061	2031      3.839067
1000.000061	2077      3.661476
1000.000061	2123      3.672035
1000.000061	2169      3.873373
1000.000061	2215      4.126711
1000.000061	2261      4.011832
1000.000061	2307      3.652571
1000.000061	2353      3.810290
1000.000061	2399      3.913446
1000.000061	2445      3.795596
1000.000061	2491      3.554383
1000.000061	2537      3.911005
1000.000061	2583      3.852389
1000.000061	2629      3.880481
1000.000061	2675      3.844018
1000.000061	2721      3.862735
1000.000061	2767      3.763769
1000.000061	2813      3.853471
1000.000061	2859      4.285111
1000.000061	2905      4.233986
1000.000061	2951      3.993968
1000.000061	2997      3.610644
1000.000061	3043      3.577535
1000.000061	3089      3.723692
1000.000061	3135      3.984270
1000.000061	3181      4.009861
1000.000061	3227      4.488565
1000.000061	3273      4.211254
1000.000061	3319      3.681294
1000.000061	3365      3.534650
1000.000061	3411      3.740088
1000.000061	3457      3.570383
1000.000061	3503      4.174301
1000.000061	3549      4.402527
1000.000061	3595      3.944953
1000.000061	3641      4.084060
1000.000061	3687      3.631521
1000.000061	3733      3.716901
1000.000061	3779      3.778041
1000.000061	3825      3.942839
